Leaky ReLU 1000,ave100 100ステップごとに画像出したやつ time:1回目980.9021223187447 分、2回目887.146327996254 分、3回目974.852148671945分
Step 600, Loss 0.0630
Step 700, Loss 0.0620
Step 800, Loss 0.0612
Step 900, Loss 0.0607
Step 999, Loss 0.0686
74 回目
Step 0, Loss 9.1916
Step 100, Loss 0.3856
Step 200, Loss 0.0857
Step 300, Loss 0.0703
Step 400, Loss 0.0652
Step 500, Loss 0.0621
Step 600, Loss 0.0610
Step 700, Loss 0.0601
Step 800, Loss 0.0596
Step 900, Loss 0.0604
Step 999, Loss 0.0682
75 回目
Step 0, Loss 6.4992
Step 100, Loss 0.0837
Step 200, Loss 0.0639
Step 300, Loss 0.0616
Step 400, Loss 0.0605
Step 500, Loss 0.0598
Step 600, Loss 0.0589
Step 700, Loss 0.0591
Step 800, Loss 0.0574
Step 900, Loss 0.0568
Step 999, Loss 0.0564
76 回目
Step 0, Loss 5.3153
Step 100, Loss 0.1404
Step 200, Loss 0.0632
Step 300, Loss 0.0607
Step 400, Loss 0.0597
Step 500, Loss 0.0584
Step 600, Loss 0.0601
Step 700, Loss 0.0616
Step 800, Loss 0.0591
Step 900, Loss 0.0606
Step 999, Loss 0.0564
77 回目
Step 0, Loss 7.2165
Step 100, Loss 0.3447
Step 200, Loss 0.0718
Step 300, Loss 0.0659
Step 400, Loss 0.0628
Step 500, Loss 0.0611
Step 600, Loss 0.0600
Step 700, Loss 0.0592
Step 800, Loss 0.0586
Step 900, Loss 0.0579
Step 999, Loss 0.0575
78 回目
Step 0, Loss 9.3263
Step 100, Loss 0.8874
Step 200, Loss 0.1601
Step 300, Loss 0.0903
Step 400, Loss 0.0761
Step 500, Loss 0.0692
Step 600, Loss 0.0654
Step 700, Loss 0.0631
Step 800, Loss 0.0616
Step 900, Loss 0.0609
Step 999, Loss 0.0595
79 回目
Step 0, Loss 7.7840
Step 100, Loss 0.2286
Step 200, Loss 0.0940
Step 300, Loss 0.0737
Step 400, Loss 0.0648
Step 500, Loss 0.0611
Step 600, Loss 0.0596
Step 700, Loss 0.0595
Step 800, Loss 0.0582
Step 900, Loss 0.0577
Step 999, Loss 0.0574
80 回目
Step 0, Loss 6.2644
Step 100, Loss 0.1855
Step 200, Loss 0.0701
Step 300, Loss 0.0640
Step 400, Loss 0.0617
Step 500, Loss 0.0605
Step 600, Loss 0.0611
Step 700, Loss 0.0589
Step 800, Loss 0.0585
Step 900, Loss 0.0580
Step 999, Loss 0.0576
81 回目
Step 0, Loss 5.1022
Step 100, Loss 0.1657
Step 200, Loss 0.0685
Step 300, Loss 0.0628
Step 400, Loss 0.0613
Step 500, Loss 0.0604
Step 600, Loss 0.0595
Step 700, Loss 0.0586
Step 800, Loss 0.0579
Step 900, Loss 0.0576
Step 999, Loss 0.0568
82 回目
Step 0, Loss 6.8507
Step 100, Loss 0.3524
Step 200, Loss 0.0736
Step 300, Loss 0.0649
Step 400, Loss 0.0624
Step 500, Loss 0.0608
Step 600, Loss 0.0599
Step 700, Loss 0.0596
Step 800, Loss 0.0588
Step 900, Loss 0.0617
Step 999, Loss 0.0627
83 回目
Step 0, Loss 6.3174
Step 100, Loss 0.1671
Step 200, Loss 0.0675
Step 300, Loss 0.0637
Step 400, Loss 0.0611
Step 500, Loss 0.0601
Step 600, Loss 0.0600
Step 700, Loss 0.0591
Step 800, Loss 0.0586
Step 900, Loss 0.0678
Step 999, Loss 0.0597
84 回目
Step 0, Loss 5.7754
Step 100, Loss 0.2136
Step 200, Loss 0.0739
Step 300, Loss 0.0650
Step 400, Loss 0.0625
Step 500, Loss 0.0617
Step 600, Loss 0.0603
Step 700, Loss 0.0637
Step 800, Loss 0.0590
Step 900, Loss 0.0586
Step 999, Loss 0.0582
85 回目
Step 0, Loss 7.2869
